source_id,source_labels,source_props,rel_id,rel_type,rel_props,target_id,target_labels,target_props
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:556,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:391,[Reference],"{
  created_at: 2025-12-21T21:20:47.642000000Z,
  content: Vulnerabilities
CVE-2007-1221 Detail Deferred This CVE record is not being prioritized for NVD enrichment efforts due to resource or other concerns. Description The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection. Metrics CVSS Version 4.0 CVSS Version 3.x CVSS Version 2.0 NVD enrichment efforts reference publicly available information to associate
                                            vector strings. CVSS information contributed by other sources is also
                                            displayed. CVSS 4.0 Severity and Vector Strings: NIST: NVD N/A NVD assessment
                                       not yet provided. CVSS 3.x Severity and Vector Strings: NIST: NVD Base
														Score: N/A NVD assessment
														not yet provided. CVSS 2.0 Severity and Vector Strings: NIST: NVD Base
														Score: 7.2 HIGH Vector: (AV:L/AC:L/Au:N/C:C/I:C/A:C) References to Advisories, Solutions, and Tools By selecting these links, you will be leaving NIST webspace.
                                        We have provided these links to other web sites because they
                                        may have information that would be of interest to you. No
                                        inferences should be drawn on account of other sites being
                                        referenced, or not, from this page. There may be other web
                                        sites that are more appropriate for your purpose. NIST does
                                        not necessarily endorse the views expressed, or concur with
                                        the facts presented on these sites. Further, NIST does not
                                        endorse any commercial products that may be mentioned on
                                        these sites. Please address comments about this page to nvd@nist.gov . URL Source(s) Tag(s) http://securityreason.com/securityalert/2367 CVE, MITRE http://www.securityfocus.com/archive/1/461489/100/0/threaded CVE, MITRE http://www.securityfocus.com/archive/1/463974/100/200/threaded CVE, MITRE http://www.securityfocus.com/bid/22745 CVE, MITRE Weakness Enumeration CWE-ID CWE Name Source NVD-CWE-Other Other NIST Known Affected Software Configurations Switch
                                        to CPE 2.2 CPEs loading, please wait. Configuration 1 ( hide ) cpe:2.3:h:microsoft:xbox_360:4532:*:*:*:*:*:*:* Show Matching CPE(s) cpe:2.3:h:microsoft:xbox_360:4548:*:*:*:*:*:*:* Show Matching CPE(s) Denotes Vulnerable Software Are we missing a CPE here?  Please let us know . Change History 4 change records found show changes CVE Modified by CVE 11/20/2024 7:27:48 PM Action Type Old Value New Value Added Reference http://securityreason.com/securityalert/2367 Added Reference http://www.securityfocus.com/archive/1/461489/100/0/threaded Added Reference http://www.securityfocus.com/archive/1/463974/100/200/threaded Added Reference http://www.securityfocus.com/bid/22745 CVE Modified by MITRE 5/13/2024 9:43:36 PM Action Type Old Value New Value CVE Modified by MITRE 10/16/2018 12:37:18 PM Action Type Old Value New Value Added Reference http://www.securityfocus.com/archive/1/461489/100/0/threaded [No Types Assigned] Added Reference http://www.securityfocus.com/archive/1/463974/100/200/threaded [No Types Assigned] Removed Reference http://www.securityfocus.com/archive/1/archive/1/461489/100/0/threaded [Exploit] Removed Reference http://www.securityfocus.com/archive/1/archive/1/463974/100/200/threaded [No Types Assigned] Initial CVE Analysis 3/06/2007 1:40:00 PM Action Type Old Value New Value Quick Info CVE Dictionary Entry: CVE-2007-1221 NVD
                                Published Date: 03/02/2007 NVD
                                Last Modified: 04/08/2025 Source: MITRE,
  url: https://nvd.nist.gov/vuln/detail/CVE-2007-1221
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:558,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:392,[Reference],"{
  created_at: 2025-12-21T21:20:47.642000000Z,
  content: This repository was archived by the owner on Aug 12, 2025. It is now read-only.
grimdoomer / Xbox360BadUpdate Public archive
Notifications
Fork 148
*Star 1.9k*
Software only hypervisor exploit for Xbox 360
*1.9k stars 148 forks Branches Tags Activity*
*Star*
*Notifications*,
  url: https://github.com/grimdoomer/Xbox360BadUpdate
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:563,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:397,[Reference],"{
  created_at: 2025-12-21T21:20:47.642000000Z,
  content: *Pricing*
## Browse by Apps
*View All Apps*
Splunk
*Splunk*
Slack
*Slack*
Webhook
*Webhook*
*API*
*Login*
*Clear*




Menu
Homepage
Search
Cisa KEV Catalog
CVE Newsroom
Vulnerabilities
Latests
Exploit Predictions
Initial Access Intel
Products Security Index
Vendor Vulnerability Posture
RSS Feed
Knowledge Base
CVE Metrics & Stats
CWE Definitions
CAPEC Definitions
cvefeed.io
About & Contact
Github
Follow us at Twitter
Light / Dark
Home
Vulnerabilities
CVE-2007-1221
*7.2*
*HIGH CVSS 2.0*
## CVE-2007-1221
## Microsoft Xbox 360 Kernel Hypervisor Escalation of Privilege
Overview
Vulnerability Timeline
Exploitability Score History
## Description
The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
## INFO
*Published Date :*
## March 2, 2007, 10:19 p.m.
*Last Modified :*
## April 9, 2025, 12:30 a.m.
*Remotely Exploit :*
## No
*Source :*
## cve@mitre.org
## Affected Products
The following products are affected by CVE-2007-1221 vulnerability. Even if cvefeed.io is aware of the exact versions of the products that are affected, the information is not represented in the table below.
ID Vendor Product Action 1 Microsoft xbox_360
*: Total Affected Vendor : 1 | Products : 1*
## CVSS Scores
The Common Vulnerability Scoring System is a standardized framework for assessing the severity of vulnerabilities in software and systems. We collect and displays CVSS scores from various sources for each CVE.
Score Version Severity Vector Exploitability Score Impact Score Source 7.2 CVSS 2.0 HIGH 3.9 10 nvd@nist.gov
## References to Advisories, Solutions, and Tools
Here, you will find a curated list of external links that provide in-depth information, practical solutions, and valuable tools related to CVE-2007-1221.
URL Resource http://securityreason.com/securityalert/2367 http://www.securityfocus.com/archive/1/461489/100/0/threaded http://www.securityfocus.com/archive/1/463974/100/200/threaded http://www.securityfocus.com/bid/22745 http://securityreason.com/securityalert/2367 http://www.securityfocus.com/archive/1/461489/100/0/threaded http://www.securityfocus.com/archive/1/463974/100/200/threaded http://www.securityfocus.com/bid/22745
## CWE - Common Weakness Enumeration
While CVE identifies specific instances of vulnerabilities, CWE categorizes the common flaws or weaknesses that can lead to vulnerabilities. CVE-2007-1221 is associated with the following CWEs:
## Common Attack Pattern Enumeration and Classification (CAPEC)
Common Attack Pattern Enumeration and Classification (CAPEC) stores attack patterns, which are descriptions of the common attributes and approaches employed by adversaries to exploit the CVE-2007-1221 weaknesses.
We scan GitHub repositories to detect new proof-of-concept exploits. Following list is a collection of public exploits and proof-of-concepts, which have been published on GitHub (sorted by the most recently updated).
Results are limited to the first 15 repositories due to potential performance issues.
The following list is the news that have been mention CVE-2007-1221 vulnerability anywhere in the article.
Results are limited to the first 20 news articles due to potential performance issues.
The following table lists the changes that have been made to the CVE-2007-1221 vulnerability over time.
Vulnerability history details can be useful for understanding the evolution of a vulnerability, and for identifying the most recent changes that may impact the vulnerability's severity, exploitability, or other characteristics.
## CVE Modified by af854a3a-2127-422b-91ae-364da2661108
*Nov. 21, 2024*
Action Type Old Value New Value Added Reference http://securityreason.com/securityalert/2367 Added Reference http://www.securityfocus.com/archive/1/461489/100/0/threaded Added Reference http://www.securityfocus.com/archive/1/463974/100/200/threaded Added Reference http://www.securityfocus.com/bid/22745
## CVE Modified by cve@mitre.org
*May. 14, 2024*
Action Type Old Value New Value
## CVE Modified by cve@mitre.org
*Oct. 16, 2018*
Action Type Old Value New Value Removed Reference http://www.securityfocus.com/archive/1/archive/1/461489/100/0/threaded [Exploit] Removed Reference http://www.securityfocus.com/archive/1/archive/1/463974/100/200/threaded [No Types Assigned] Added Reference http://www.securityfocus.com/archive/1/463974/100/200/threaded [No Types Assigned] Added Reference http://www.securityfocus.com/archive/1/461489/100/0/threaded [No Types Assigned]
## Initial Analysis by nvd@nist.gov
*Mar. 06, 2007*
Action Type Old Value New Value
EPSS is a daily estimate of the probability of exploitation activity being observed over the next 30 days. Following chart shows the EPSS score history of the vulnerability.
## Vulnerability Scoring Details
## Base CVSS Score: 7.2
*Access Vector*
*Access Complexity*
*Authentication*
*Confidentiality Impact*
*Integrity Impact*
*Availability Impact*
## Exploit Prediction
EPSS is a daily estimate of the probability of exploitation activity being observed over the next 30 days.
## 0.91 }} 0.02%
*score*
## 0.75000
*percentile*
*© cvefeed.io*
*Privacy Policy | Terms of Service | Refund Policy*
*Loading...*
## CVEFeed.io UI Customizer
Everybody has a different size of monitors and styles. You can customize the CVEFeed.io dashboard for your own taste.
## Layout
Choose your layout
## Vertical
## Horizontal
## Two Column
## Color Scheme
*Choose Light or Dark Scheme.*
## Light
## Dark
## Layout Width
*Choose Fluid or Boxed layout.*
## Fluid
## Boxed
## Layout Position
*Choose Fixed or Scrollable Layout Position.*
## Topbar Color
*Choose Light or Dark Topbar Color.*
## Light
## Dark
## Sidebar Size
Choose a size of Sidebar.
## Default
## Compact
## Small (Icon View)
## Small Hover View
## Sidebar View
*Choose Default or Detached Sidebar view.*
## Default
## Detached
## Sidebar Color
Choose a color of Sidebar.
## Light
## Dark
## Gradient
## Preloader
Choose a preloader.
## Enable
## Disable,
  url: https://cvefeed.io/vuln/detail/CVE-2007-1221
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:554,AFFECTS,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:380,[Device],"{
  device_name: Microsoft Xbox,
  type: PC
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:561,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:395,[Reference],"{
  created_at: 2025-12-21T21:20:47.642000000Z,
  content: Logo
MAIN NAVIGATION
Vulnerabilities
Vendors & Products
Weaknesses
Statistics
## Search
## Search Examples
CVEs in KEV CVEs with EPSS >= 80% Crit. Microsoft High Apache SQL Injection (CWE-89) Linux Kernel High (CVSS 3.1) Apache Struts RCE (Remote Code Execution) XSS (CWE-79) Critical (CVSS 4.0) CVEs to check
## Search Results (3 CVEs found)
CVE Vendors Products Updated CVSS v3.1 CVE-2025-53768 1 Microsoft 19 Windows , Windows 10 , Windows 10 1507 and 16 more 2025-12-11 7.8 High Use after free in Xbox allows an authorized attacker to elevate privileges locally. CVE-2007-1220 1 Microsoft 1 Xbox 360 2025-04-09 N/A The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 does not properly verify the parameters passed to the syscall dispatcher, which allows attackers with physical access to bypass code-signing requirements and execute arbitrary code. CVE-2007-1221 1 Microsoft 1 Xbox 360 2025-04-09 N/A The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
*Page 1 of 1.*
## Advanced Search Builder
Query will appear here as you build it...
Select a project...
Select a tag...
*Copyright © 2025 OpenCVE.*,
  url: https://app.opencve.io/cve/?product=xbox_360&vendor=microsoft
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:562,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:396,[Reference],"{
  created_at: 2025-12-21T21:20:47.642000000Z,
  content: FreeMyXe: A Great Update for Bad Update! - Xbox 360 Hypervisor Exploit Setup & Overview
*2x*
If playback doesn't begin shortly, try restarting your device.
*Up next*
*Live*
*Upcoming*
*Play Now*
*MrMario2011*
*Subscribe*
*Subscribed*
Thanks for dropping by! I upload every Saturday and occasionally on Wednesday. If you're planning to subscribe, expect to see a few of the following types of videos: - Game Console Modifications - ModChat & Mario's Minute Podcasts - Rants & Raves About Gaming - Reviews (Hardware & Software) - Tutorials (Hardware & Software) - Unboxings - Urban Exploration Oh, and sometimes my dog hangs out with me while I'm recording. Be prepared to see and hear her. --------------- As an Amazon Associate I earn from qualifying purchases. Advertisers and scammers will be blocked from this channel! Stay positive. Finally: This channel is a zero piracy zone! If you like the game, buy it! Users who link will be blocked. Subs! 10K - 08/21/14 20K - 05/31/15 30K - 03/28/16 40K - 08/03/17 50K - 12/24/17 60K - 01/28/18 70K - 04/29/18 80K - 08/26/18 90K - 02/04/19 100K - 05/21/19 200K - 01/08/23
*Patreon*
*patreon.com*
*Support*
The Xbox 360 Hypervisor Exploit is Here! Bad Update Overview & Demonstration - ModChat 131
*1:00:34*
You're signed out
Videos you watch may be added to the TV's watch history and influence TV recommendations. To avoid this, cancel and sign in to YouTube on your computer.
*Share*
An error occurred while retrieving sharing information. Please try again later.
*0:00*
*0:00 / 26:49*
Watch full video,
  url: https://www.youtube.com/watch?v=lVwspzXNiQI
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:555,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:382,[Reference],"{
  created_at: 2025-12-21T21:20:47.637000000Z,
  content: Home Page
Home
Bugtraq
Full List
Only Bugs
Only Tricks
Only Exploits
Only Dorks
Only CVE
Only CWE
Fake Notes
Ranking
CVEMAP
Full List
Show Vendors
Show Products
CWE Dictionary
Check CVE Id
Check CWE Id
Search
Bugtraq
CVEMAP
By author
CVE Id
CWE Id
By vendors
By products
RSS
Bugtraq
CVEMAP
CVE Products
Bugs
Exploits
Dorks
More
cIFrex
Facebook
Twitter
Donate
About
Submit
Xbox 360 Hypervisor Privilege Escalation Vulnerability 2007-03-08 / 2007-03-09 Credit: Anonymous Hacker Risk: High Local: Yes Remote: No CVE: CVE-2007-1221 | CVE-2007-1220 CWE: N/A Security Advisory

Xbox 360 Hypervisor Privilege Escalation Vulnerability

Release Date:
  February 28, 2007

Author:
  Anonymous Hacker <anohacker (at) gmail (dot) com [email concealed]>

Timeline:
  Oct 31, 2006 - release of 4532 kernel, which is the first version
                 containing the bug
  Nov 16, 2006 - proof of concept completed; unsigned code running in
                 hypervisor context
  Nov 30, 2006 - release of 4548 kernel, bug still not fixed
  Dec 15, 2006 - first attempt to contact vendor to report bug
  Dec 30, 2006 - public demonstration
  Jan 03, 2007 - vendor contact established, full details disclosed
  Jan 09, 2007 - vendor releases patch
  Feb 28, 2007 - full public release
  Patch Development Time (In Days): 6

Severity:
  Critical (Unsigned Code Execution in Hypervisor Mode)

Vendor:
  Microsoft

Systems Affected:
  All Xbox 360 systems with a kernel version of 4532 (released Oct 31,
  2006) and 4548 (released Nov 30, 2006). Versions prior to 4532 are not
  affected. Bug was fixed in version 4552 (released Jan 09, 2007 - not a
  Patch Tuesday).

Overview:
  We have discovered a vulnerability in the Xbox 360 hypervisor that allows
  privilege escalation into hypervisor mode. Together with a method to
  inject data into non-privileged memory areas, this vulnerability allows
  an attacker with physical access to an Xbox 360 to run arbitrary code
  such as alternative operating systems with full privileges and full
  hardware access.

Technical details:
  The Xbox 360 security system is designed around a hypervisor concept. All
  games and other applications, which must be cryptographically signed with
  Microsoft's private key, run in non-privileged mode, while only a small
  hypervisor runs in privileged (""hypervisor"") mode. The hypervisor
  controls access to memory and provides encryption and decryption
  services.

The policy implemented in the hypervisor forces all executable code to be
  read-only and encrypted. Therefore, unprivileged code cannot change
  executable code. A physical memory attack could modify code; however,
  code memory is encrypted with a unique per-session key, making meaningful
  modification of code memory in a broadly distributable fashion difficult.
  In addition, the stack and heap are always marked as non-executable, and
  therefore data loaded there can never be jumped to by unpriviledged code.

Unprivileged code interacts with the hypervisor via the ""sc"" (""syscall"")
  instruction, which causes the machine to enter hypervisor mode. The
  vulnerability is a result of incomplete checking of the parameters passed
  to the syscall dispatcher, as illustrated below.

Preconditions (registers set by unpriviledged code):

%r0      syscall no.
  %r3-%r12 syscall arguments

Priviledged code:

13D8: cmplwi %r0, 0x61
  13DC: bge illegal_syscall
   ...
  13F0: rldicr %r1, %r0, 2, 61
  13F4: lwz %r4, syscall_table(%r1)
  13F8: mtlr %r4
   ...
  1414: blrl

The problem is that the ""cmplwi"" instruction compares only the lower 32
  bits of the given syscall number; the upper 32 bits are ignored. The
  ""rldicr"" instruction, however, operates on the complete 64 bit register
  value.

The syscall handler address is fetched from the syscall handler offset
  table at 0x00000000.00001F68+%r0*4. Setting the upper 32 bits of %r0 to
  something other than 0 will change the upper 30 bits of the address used
  for the syscall handler offset table lookup. We will now explain how the
  Xbox 360 security architecture interprets and aliases these upper bits.

When processing the syscall, the processor is running in ""hypervisor real
  mode"", with the MMU switched off. However, when accessing memory
  locations with the MSB cleared, an additional offset, the Hypervisor Real
  Mode Offset (HRMO), will be applied to all memory addresses.

Due to the Xbox 360 security architecture, main memory is aliased to
  different addresses with different properties, in order to conditionally
  enable the security features (encryption and hashing). The hypervisor
  sets the value of the HRMO special register so that the hypervisor code,
  including the syscall jump table, resides in memory which is hashed as
  well as encrypted, even when using zero-based addresses.

When accessing memory locations with the most significant address bit
  set, the HRMOR setting is not applied. Due to the bug in the ""cmplwi""
  instruction, setting the corresponding bits in %r0 on syscall entry
  allows setting the MSB, thereby overriding the HRMOR setting and tricking
  the address lookup of the syscall handler to fetch from memory without
  any security features.

With the syscall handler offset table aliased to unencrypted memory, the
  syscall handler table can now be modified to direct the hypervisor to
  jump to any location in code space that is designated for the hypervisor.
  In the proof of concept implementation, a jump to existing hypervisor
  code is used with a pre-loaded register value as a trampoline to force
  the ultimate execution path to an arbitrary, unencrypted and executable
  location in memory.

Proof of Concept Details:
  As it is not possible to directly overwrite even non-priviledged code,
  existing code needs to be tricked into calling the hypervisor syscall
  with the desired register set. This can be done by setting up a stack
  frame and forcing a context switch to this stack frame. The bug can be
  exploited using the following series of physical memory writes:

Setup context switch to stack @80130AF0:

00130390: 00000000 00000000 00000000 FDFFD7FF  MSR mask
  00130360: 00000000 80130AF0 00000000 00000000  New stack pointer

Setup stack:

00130BD0: 00000000 80070190 00000000 00000000  NIP to context restore
  00130C90: 00000000 00000000 80070228 80070228  NIP, LR after context
                                                 restore point to syscall
                                                 instruction in kernel
  00130CA0: 00000000 00009030 00000000 00000000  MSR

00130B40: 20000000 00000046 00000000 80130af0  r0 = syscall nr
                                                 r1 = stack
  00130B60: 80000000 address1                    r4 = address to jump to

00002080: 00000350                             points to mtctr %r4,
                                                 bctr in hypervisor code

Code to be executed should be placed at ""address1"", which can be an
  arbitrary unused memory address.

Example code to output '!' to the on board serial port:

1:
    li %r3, '!'
    bl putc
    b 1b

putc:
    lis %r4, 0x8000
    ori %r4, %r4, 0x200
    rldicr %r4, %r4, 32, 31
    oris %r4, %r4, 0xea00
    slwi %r3, %r3, 24
    stw %r3, 0x1014(%r4)
  1:
    lwz %r3, 0x1018(%r4)
    rlwinm. %r3, %r3, 0, 6, 6
    beq 1b
    blr

Vendor Status:
  Vendor was notified anonymously, and after cordial discussions a patch
  was promptly released.

Recommendation:
  Remove R6T3. See this note in RAW Version Vote for this issue: 0 0 50% 50% Thanks for you vote! Thanks for you comment! Your message is in quarantine 48 hours. Comment it here. Nick (*) Email (*) Video Text (*) (*) - required fields. Cancel Submit Show all comments Copyright 2025 , cxsecurity.com
*Back to Top*,
  url: http://securityreason.com/securityalert/2367
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:559,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:393,[Reference],"{
  created_at: 2025-12-21T21:20:47.642000000Z,
  content: *Please wait. Loading...*,
  url: https://cve.mitre.org/cgi-bin/cvename.cgi?name=2007-1221
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:378,[CVE],"{
  cvss_version: V2,
  cvss_score: 7.2,
  cvss_severity: HIGH,
  cve_id: CVE-2007-1221,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:560,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:394,[Reference],"{
  created_at: 2025-12-21T21:20:47.642000000Z,
  content: ## Vulnerability Details : CVE-2007-1221
*Microsoft Xbox 360 Hypervisor Physical Access Vulnerability Allows Bypass of Code Protection via Syscall Execution*
The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 allows attackers with physical access to force execution of the hypervisor syscall with a certain register set, which bypasses intended code protection.
*Published 2007-03-02 22:19:00*
*Updated 2025-04-09 00:30:58*
*Source MITRE*
*View at NVD, CVE.org, EUVD*
*Alternative IDs: EUVD-2007-1218, GHSA-293c-r3p4-g63r, GSD-2007-1221*
## Products affected by CVE-2007-1221
*Microsoft » Xbox 360 » Version: 4532*
*cpe:2.3:h:microsoft:xbox_360:4532:*:*:*:*:*:*:**
Matching versions
*Microsoft » Xbox 360 » Version: 4548*
*cpe:2.3:h:microsoft:xbox_360:4548:*:*:*:*:*:*:**
Matching versions
## Exploit prediction scoring system (EPSS) score for CVE-2007-1221
*EPSS FAQ*
*0.91%*
*Probability of exploitation activity in the next 30 days EPSS Score History*
*~ 75 %*
Percentile, the proportion of vulnerabilities that are scored at or less
## CVSS scores for CVE-2007-1221
Base Score Base Severity CVSS Vector Exploitability Score Impact Score Score Source First Seen 7.2 HIGH AV:L/AC:L/Au:N/C:C/I:C/A:C 3.9 10.0 NIST Access Vector: Local Access Complexity: Low Authentication: None Confidentiality Impact: Complete Integrity Impact: Complete Availability Impact: Complete
## References for CVE-2007-1221
http://www.securityfocus.com/archive/1/461489/100/0/threaded
CVEs referencing this url
http://www.securityfocus.com/bid/22745
CVEs referencing this url
http://www.securityfocus.com/archive/1/463974/100/200/threaded
http://securityreason.com/securityalert/2367
CVEs referencing this url
*Jump to*,
  url: https://www.cvedetails.com/cve/CVE-2007-1221/
}"
4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:379,[CVE],"{
  cvss_version: V2,
  cvss_severity: MEDIUM,
  cvss_score: 6.2,
  cve_id: CVE-2007-1220,
  description: The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 does not properly verify the parameters passed to the syscall dispatcher, which allows attackers with physical access to bypass code-signing requirements and execute arbitrary code.
}",5:5542f037-95a3-4ccf-824f-d750ff8b2d9c:547,HAS_REFERENCE,{},4:5542f037-95a3-4ccf-824f-d750ff8b2d9c:385,[Reference],"{
  created_at: 2025-12-21T21:20:47.637000000Z,
  content: ## The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548...
*Moderate severity Unreviewed Published to the GitHub Advisory Database • Updated*
## Package
*No package listed— Suggest a package*
## Affected versions
*Unknown*
## Patched versions
*Unknown*
## Description
The Hypervisor in Microsoft Xbox 360 kernel 4532 and 4548 does not properly verify the parameters passed to the syscall dispatcher, which allows attackers with physical access to bypass code-signing requirements and execute arbitrary code.
## References
https://nvd.nist.gov/vuln/detail/CVE-2007-1220
http://securityreason.com/securityalert/2367
http://www.securityfocus.com/archive/1/461489/100/0/threaded
http://www.securityfocus.com/bid/22745
*Published by the National Vulnerability Database*
Published to the GitHub Advisory Database
Last updated
## Severity
*Moderate*
## EPSS score
*(64th percentile)*
## Weaknesses
*No CWEs*
## CVE ID
*CVE-2007-1220*
## GHSA ID
*GHSA-mr3x-ww57-r38q*
## Source code
No known source code
Dependabot alerts are not supported on this advisory because it does not have a package from a supported ecosystem with an affected and fixed version.
*Learn more about GitHub language support*
This advisory has been edited. See History.
See something to contribute? Suggest improvements for this vulnerability.,
  url: https://github.com/advisories/GHSA-mr3x-ww57-r38q
}"
